gen,fit,cross,rec,size,wires
342,-0.171875,40,5,9,49
343,-0.171875,40,5,9,49
344,-0.171875,40,5,9,49
345,-0.171875,40,5,9,49
346,-0.171875,40,5,9,49
347,-0.171875,40,5,9,49
348,-0.171875,40,5,9,49
349,-0.171875,40,5,9,49
350,-0.171875,40,5,9,49
351,-0.171875,40,5,9,49
352,-0.171875,40,5,9,49
353,-0.171875,40,5,9,49
354,-0.171875,40,5,9,49
355,-0.171875,40,5,9,49
356,-0.171875,40,5,9,49
357,-0.171875,40,5,9,49
358,-0.171875,40,5,9,49
359,-0.171875,40,5,9,49
360,-0.171875,40,5,9,49
361,-0.171875,40,5,9,49
362,-0.171875,40,5,9,49
363,-0.171875,40,5,9,49
364,-0.171875,40,5,9,49
365,-0.171875,40,5,9,49
366,-0.171875,40,5,9,49
367,-0.171875,40,5,9,49
368,-0.171875,40,5,9,49
369,-0.171875,40,5,9,49
370,-0.171875,40,5,9,49
371,-0.171875,40,5,9,49
372,-0.171875,40,5,9,49
373,-0.171875,40,5,9,49
374,-0.171875,40,5,9,49
375,-0.171875,40,5,9,49
376,-0.171875,40,5,9,49
377,-0.171875,40,5,9,49
378,-0.171875,40,5,9,49
379,-0.171875,40,5,9,49
380,-0.171875,40,5,9,49
381,-0.171875,40,5,9,49
382,-0.171875,40,5,9,49
383,-0.171875,40,5,9,49
384,-0.171875,40,5,9,49
385,-0.171875,40,5,9,49
386,-0.171875,40,5,9,49
387,-0.171875,40,5,9,49
388,-0.171875,40,5,9,49
389,-0.171875,40,5,9,49
390,-0.171875,40,5,9,49
391,-0.171875,40,5,9,49
392,-0.171875,40,5,9,49
393,-0.171875,40,5,9,49
394,-0.171875,40,5,9,49
395,-0.156250,43,3,9,50
396,-0.156250,43,3,9,50
397,-0.156250,43,3,9,50
398,-0.156250,43,3,9,50
399,-0.156250,43,3,9,50
400,-0.156250,43,3,9,50
401,-0.156250,43,3,9,50
402,-0.156250,43,3,9,50
403,-0.156250,43,3,9,50
404,-0.156250,43,3,9,50
405,-0.156250,43,3,9,50
406,-0.156250,43,3,9,50
407,-0.156250,43,3,9,50
408,-0.156250,43,3,9,50
409,-0.156250,43,3,9,50
410,-0.156250,43,3,9,50
411,-0.156250,43,3,9,50
412,-0.156250,43,3,9,50
413,-0.156250,43,3,9,50
414,-0.156250,43,3,9,50
415,-0.156250,43,3,9,50
416,-0.156250,43,3,9,50
417,-0.156250,43,3,9,50
418,-0.156250,43,3,9,50
419,-0.156250,43,3,9,50
420,-0.156250,43,3,9,50
421,-0.156250,43,3,9,50
422,-0.140625,44,3,9,52
423,-0.140625,44,3,9,52
424,-0.140625,44,3,9,52
425,-0.140625,44,3,9,52
426,-0.140625,44,3,9,52
427,-0.140625,44,3,9,52
428,-0.140625,44,3,9,52
429,-0.140625,44,3,9,52
430,-0.140625,44,3,9,52
431,-0.140625,44,3,9,52
432,-0.140625,44,3,9,52
433,-0.140625,44,3,9,52
434,-0.140625,44,3,9,52
435,-0.140625,44,3,9,52
436,-0.140625,44,3,9,52
437,-0.140625,44,3,9,52
438,-0.140625,44,3,9,52
439,-0.140625,44,3,9,52
440,-0.140625,44,3,9,52
441,-0.140625,44,3,9,52
442,-0.140625,44,3,9,52
443,-0.140625,44,3,9,52
444,-0.140625,44,3,9,52
445,-0.140625,44,3,9,52
446,-0.140625,44,3,9,52
447,-0.140625,44,3,9,52
448,-0.140625,44,3,9,52
449,-0.140625,44,3,9,52
450,-0.140625,44,3,9,52
451,-0.140625,44,3,9,52
452,-0.140625,44,3,9,52
453,-0.140625,44,3,9,52
454,-0.140625,44,3,9,52
